Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/6/21,487.190002,493.94002,484.730001,493.000013,5525200,246.746753,502.4430079,496.9745527,-26.170001,32.77790066,12.6498236,1,484.580005,485.019994,500.370016,502.950014,508.370003,,,,,,,
2011/6/22,491.45002,492.349998,486.730013,487.010006,4809300,243.748752,499.2270071,494.1685524,-29.720007,19.08265054,12.26686674,0,493.000013,484.580005,485.019994,500.370016,502.950014,,,,,,,
2011/6/23,482.130003,482.860016,473.729995,480.22002,9593700,240.35036,495.5760078,490.7127365,-29.289986,15.10712786,12.82701875,0,487.010006,493.000013,484.580005,485.019994,500.370016,,,,,,,
2011/6/24,480.680008,480.750007,473.020012,474.879997,7603500,237.677676,492.1130069,486.9498255,-29.850004,4.529919078,13.1880009,0,480.22002,487.010006,493.000013,484.580005,485.019994,,,,,,,
2011/6/27,474.000019,488.400003,473.599998,482.800018,6882500,241.64165,489.9200086,485.2565548,-25.569985,23.81881347,14.74487385,1,474.879997,480.22002,487.010006,493.000013,484.580005,,,,,,,
2011/6/28,484.020018,496.209995,484.020018,493.649997,5424700,247.07207,488.448008,485.9347345,-9.300017,58.39227193,18.58603273,1,482.800018,474.879997,480.22002,487.010006,493.000013,,,,,,,
2011/6/29,496.540018,500.250019,492.379997,497.569993,4681300,249.03403,487.9100059,487.5932772,-2.800023,72.91351215,25.08923783,1,493.649997,482.800018,474.879997,480.22002,487.010006,,,,,,,
2011/6/30,501.990007,506.670014,501.500019,506.380021,4851900,253.443454,488.5110064,490.9514618,21.360027,99.07931992,33.80091897,1,497.569993,493.649997,482.800018,474.879997,480.22002,,,,,,,
2011/7/1,506.740013,521.180026,506.380021,521.03003,7266100,260.775791,492.11201,496.8640115,36.450025,99.6885466,43.71741882,1,506.380021,497.569993,493.649997,482.800018,474.879997,,,,,,,
2011/7/5,525.299987,535.399984,525.299987,532.439995,7690700,266.486484,496.898009,504.1963724,39.439982,95.25490489,52.06449671,1,521.03003,506.380021,497.569993,493.649997,482.800018,,,,,,,
2011/7/6,533.50003,538.51003,533.039981,535.359985,5385800,267.94794,501.1340062,511.189459,48.349979,95.19003797,58.30571044,1,532.439995,521.03003,506.380021,497.569993,493.649997,,,,,,,
2011/7/7,541.00003,550.679977,535.880033,546.600016,7863100,273.573581,507.0930072,519.4560062,66.379996,94.74637801,65.87208319,1,535.359985,532.439995,521.03003,506.380021,497.569993,,,,,,,
2011/7/8,532.949983,537.64999,527.27,531.990006,9530800,266.261264,512.2700058,523.9827333,57.110009,75.93358302,71.9547287,0,546.600016,535.359985,532.439995,521.03003,506.380021,,,,,,,
2011/7/11,528.179977,535.980031,525.499982,527.279999,5672900,263.903904,517.510006,526.7118229,44.479981,69.64195073,78.46593187,0,531.990006,546.600016,535.359985,532.439995,521.03003,,,,,,,
2011/7/12,528.159978,539.420008,526.000031,534.010018,5676700,267.272281,522.631006,529.7118251,40.360021,74.99254537,83.58330506,1,527.279999,531.990006,546.600016,535.359985,532.439995,,,,,,,
2011/7/13,537.000006,544.000018,536.480019,538.260036,5574800,269.399418,527.0920099,532.5534669,40.690043,78.69649183,85.61372705,1,534.010018,527.279999,531.990006,546.600016,535.359985,,,,,,,
2011/7/14,539.120015,542.000006,526.730013,528.94002,13285700,264.734745,530.2290126,532.8894688,22.559999,55.79508832,83.90188467,0,538.260036,534.010018,527.279999,531.990006,546.600016,,,,,,,
2011/7/15,597.499993,600.249987,588.159977,597.61999,27436700,299.109104,539.3530095,545.1423738,76.58996,97.19825508,83.71377818,1,528.94002,538.260036,534.010018,527.279999,531.990006,,,,,,,
2011/7/18,592.489993,602.050004,592.000005,594.939995,8927600,297.767765,546.744006,555.2490984,62.5,90.73614668,82.81853819,0,597.61999,528.94002,538.260036,534.010018,527.279999,,,,,,,
